norad,name,n_tle,i_mean_deg,lambda_crit,resonance_jd,resonance_year,decay_year,first_year,last_year,csv_path
35497,Ariane 5 ESC-A,1547,5.7723,12280.7038,2457517.5421,2016.3519,2016.8309,2013.7904,2016.8318,data/obj_35497.csv
37151,Long March 3B,2986,24.8755,10924.0475,2456911.2870,2014.6921,2015.9192,2011.3312,2015.9212,data/obj_37151.csv
27526,Ariane 5 R/B,1343,17.7506,11652.2594,2455566.9414,2011.0115,2012.3518,2009.9329,2012.3531,data/obj_27526.csv
37819,Proton-M R/B,1894,63.2848,9797.0388,2456176.1596,2012.6794,2013.6961,2011.7378,2013.6982,data/obj_37819.csv
59347,GTO R/B,1018,25.3819,10860.0620,2461169.8442,2026.3514,2026.4326,2024.2453,2026.4276,data/obj_59347.csv
40943,GTO debris,2736,6.3373,12265.8867,2458756.6180,2019.7443,2020.1355,2015.7465,2020.1324,data/obj_40943.csv
60328,CZ-3B R/B,110,26.8421,10665.1277,2460769.4957,2025.2553,2025.2827,2024.5835,2025.2553,data/obj_60328.csv
18983,SL-6 R/B(2),1250,63.6983,9846.8395,2449249.2545,1993.7146,2002.0602,1988.2106,2001.7476,data/obj_18983.csv
13112,SL-6 R/B(2),652,64.5210,9940.7903,2448298.8382,1991.1125,1992.8693,1982.2275,1993.4832,data/obj_13112.csv
28141,CZ-2C R/B,537,25.0284,10904.9176,2454387.6032,2007.7826,2007.7823,2004.0272,2007.7826,data/obj_28141.csv
19881,Cosmos931 deb,299,59.5090,9252.8606,2449042.6952,1993.1491,1993.1622,1979.7270,1993.1601,data/obj_19881.csv
5980,Titan3C TS deb,138,26.3582,10731.4868,2442512.4562,1975.2702,1976.2779,1971.7035,1975.2702,data/obj_5980.csv
4570,SL-6 R/B(2),74,65.7661,10070.6121,2441459.5775,1972.3876,1972.4120,1970.7980,1972.3876,data/obj_4570.csv
10724,AtlasCentaur deb,105,26.7380,10679.5581,2444483.9536,1980.6679,1982.6626,1978.2315,1981.6031,data/obj_10724.csv
28140,Doublestar TC-1,583,25.3712,10861.4254,2454387.5697,2007.7825,2007.7823,2004.0175,2007.7825,data/obj_28140.csv
44911,CZ-5 R/B,510,15.3149,11835.9410,2459701.6854,2022.3318,2022.3368,2019.9870,2022.3318,data/obj_44911.csv
7096,SKYNET 2A,5,35.3616,9130.1144,2442068.2482,1974.0541,1974.0657,1974.0501,1974.0634,data/obj_7096.csv
68538,ARTEMIS 2 (INTEGRITY),13,33.6157,9514.1128,2461132.4992,2026.2491,2026.2710,2026.2490,2026.2735,data/obj_68538.csv
6294,MOLNIYA 1-22,219,65.0605,9998.8265,2442808.3434,1976.0803,1976.1109,1973.0212,1976.1062,data/obj_6294.csv
18954,ARIANE 3 DEB (SYLDA),27,6.9004,12249.7177,2447541.1583,1989.0381,1989.0856,1988.2019,1989.0437,data/obj_18954.csv
29462,SL-12 DEB,145,65.3115,10024.8864,2455354.5692,2010.4300,2012.7543,2006.7239,2010.4709,data/obj_29462.csv
5941,PROGNOZ 1,13,64.9277,9984.7978,2442649.4661,1975.6454,1980.0479,1972.2836,1975.6454,data/obj_5941.csv
6231,MOLNIYA 1-21,408,65.4106,10035.0184,2441619.0092,1972.8241,1977.8330,1972.7854,1977.7185,data/obj_6231.csv
